SITE_ID,LATITUDE,LONGITUDE,SITE_NAME,NOTES
1000,-12.471947,130.845073,"Fort Hill Wharf DARWIN","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000,-33.756158,150.698182,"Cnr Castlereagh & Lethbri PENRITH","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000003,-12.464597,130.840708,"6 Knuckey Street Darwin","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000004,-39.5964,143.9339,"Cape Wickham Links Clubhouse KING ISLAND","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000007,-32.67373,152.183366,"LPON06 Ocean Side Hotel 100 Booner Street HAWKS NEST","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000009,-36.416261,143.611158,"LPON15 90 High Street WEDDERBURN","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000010,-33.315074,115.726263,"LPON19 Glen Huon Primary School 9 Monash Bvd EATON","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000011,-33.307414,115.734614,"LPON20 45 Millbridge Bvd MILLBRIDGE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000012,-33.357333,115.624897,"LPON21 Bethanie Elanora 37 Hastie Street SOUTH BUNBURY","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000013,-28.687008,153.523194,"LPON 22 Foodworks Building 3/2-6 Byron Street BANGALOW","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000014,-31.540083,116.372957,"LPON 27 Location 8392 Harders-Chitty Road TOODYAY","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000015,-31.549951,116.453282,"LPON 28 21 Hassell Close TOODYAY","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000016,-33.831142,115.106278,"LPON29 8 Webster Road COWARAMUP","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000017,-33.629218,115.091635,"LPON30 53 Yungarra Drive DUNSBOROUGH","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000018,-27.806743,152.640874,"LPON32 23 Willmotts Road HARRISVILLE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000019,-23.358303,120.780766,"LPON33 Talawana Track JIGALONG","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000020,-28.074596,152.856728,"LPON34 14-18 Brooks Drive KOORALBYN","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000021,-33.864266,121.877509,"LPON38 Esperance Christian School 2 Blake Street ESPERANCE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000022,-37.814712,144.974322,"17 Spring St MELBOURNE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000023,-37.65123,144.959774,"183-187 Northbourne Rd Campbellfield","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000026,-33.7187,150.8341,"Dulux Store Harris Avenue MARSDEN PARK","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000027,-37.8109,144.9371,"Costco Docklands 381-383 Footscray Road DOCKLANDS","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000029,-33.7876,150.8815,"27 Holbeche Road ARNDELL PARK","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000030,-37.9192,145.3463,"Belgrave Heights Christian School Wattle Valley Road BELGRAVE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000031,-37.6905,145.0248,"319 Settlement Road THOMASTOWN","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000032,-33.947875,150.899139,"VHA Rooftop Site Casula Mall Cnr Ingham Dr and Kurrajong Rd CASULA","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000035,-33.86904,151.20695,"Smart Pole 367 George Street SYDNEY","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
